_key,link,nutritional_info/Grasimi,nutritional_info/Valoare energetica,nutritional_info/Glucide,nutritional_info/Fibre,nutritional_info/Sodiu,nutritional_info/Proteine,nutritional_info/Grasimi saturate,Ingrediente,Alergeni
Croissant cu crema de cacao 65g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Croissant/Croissant-cu-crema-de-cacao-65g/p/5346,43 g/100 g,453 kcal/100 g,43 g/100 g,N/A,0.5 g/100 g,6 g/100 g,14 g/100 g,"Faina de grau, crema de cacao 25% (zahar, grasimi vegetale partial hidrogenate, apa, cacao pudra cu continut scazut de grasime 7%, lapte praf degresat, alcool, emulgator (esteri ai acidului lactic de mono- si digliceride ale acizilor grasi), agent de gelifiere (alginat de sodiu), aroma de vanilie, conservant (sorbat de potasiu 0.1%), margarina (grasimi vegetale partial hidrogenate, apa, sare iodata, emulgator (mono- si digliceride ale acizilor grasi), acidifiant (acid citric), aroma, conservant(sorbat de potasiu 0.1%)), zahar, drojdie, stabilizator (mono- si digliceride ale acizilor grasi), sare iodata, aroma de vanilie, conservant (propionat de calciu 0.1%).","Produsul poate contine urme de: oua,soia, arahide, nuci, alune."
Croissant cu crema cu aroma de vin spumant 85g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Croissant/Croissant-cu-crema-cu-aroma-de-vin-spumant-85g/p/43600,28 g/100 g,452 kcal/100 g,42 g/100 g,N/A,0.50 g/100 g,6 g/100 g,15 g/100 g,"Aluat: faina de GRAU, uleiuri vegetale (ulei de palmier, ulei de floarea soarelui), zahar, sirop de glucoza-fructoza, drojdie, sare iodata, stabilizator (monoo- si digliceride ale acizilor grasi), vanilina, corector de aciditate (Acid citric), conservanti (propionat de calciu, sorbat de potasiu). Crema cu aroma de vin spumant 28%: zahar, ulei de palmier, LAPTE praf degresat, alcool etilic, praf de galbenus de OU, vin spumant 1%, emulsifiant (esteri poliglicerici ai acizilor grasi), aroma, stabilizator (guma de celuloza), conservant (sorbat de potasiu), LACTOZA (LAPTE).","Contine: gluten, lapte si ou. Fabricat intr-o unitate care utilizeaza ca materii prime: arahide, alune de padure, migdale, produse din soia, susan."
Biscuiti cu crema cu cacao 36g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-cu-crema/Biscuiti-cu-crema-cu-cacao-36g/p/33198,20.8 g/100 g,472 kcal/100 g,66.3 g/100 g,0.64 g/100 g,0.63 g/100 g,4.6 g/100 g,3.2 g/100 g,"Faina alba de GRAU 650, zahar, grasime de palmier, apa, cacao cu continut redus de grasime (3%), agenti de afanare (carbonat acid de amoniu, carbonat acid de sodiu), sare iodata, arome (rom, vanilina). Continut de crema 40%.","Grau. Poate contine urme de lapte, soia."
Biscuiti cu unt 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Biscuiti-cu-unt-100g/p/43619,12 g/100 g,441 kcal/100 g,74 g/100 g,N/A,1.5 g/100 g,8.4 g/100 g,7.1 g/100 g,"Faina de GRAU, zahar, UNT (12%), sirop de zahar invertit, agenti de afanare: carbonati de sodiu,difosfati, ZER pudra (LAPTE), LAPTE praf integral, sare, emulsifiant:lecitina, acidifiant:acid citric,arome(contine LAPTE),OUA integrale praf.","Contine: grau, lapte, unt, soia si ou."
Popcorn cu sare pentru cuptor cu microunde 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Popcorn/Popcorn-cu-sare-pentru-cuptor-cu-microunde-80g/p/33959,21 g/100 g,428 kcal/100 g,48 g/100 g,N/A,2.5 g/100 g,8.1 g/100 g,10 g/100 g,"Porumb, ulei vegetal de palmier, sare (2.5%).",N/A
Rondele de paine cu sare 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Rondele-de-paine-cu-sare-80g/p/51294,15 g/100 g,451 kcal/100 g,64 g/100 g,N/A,2.7 g/100 g,14 g/100 g,6 g/100 g,"Faina de GRAU, ulei de palmier, sare iodata 2.7%, zahar, drojdie, faina de SOIA.","Contine gluten si soia. Fabricat intr-o unitate care utilizeaza ca materii prime: produse din lapte, oua, arahide, susan, telina."
Snack din porumb cu aroma cascaval 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Snacks-uri-si-pufuleti/Snack-din-porumb-cu-aroma-cascaval-80g/p/54851,36.65 g/100 g,560.23 kcal/100 g,47.71 g/100 g,1.57 g/100 g,2 g/100 g,9.10 g/100 g,8.42 g/100 g,"Malai grisat, ulei de floarea soarelui, praf de BRANZA 6% (LACTOZA), colorant: extract lichid de ardei, sare iodata.","Contine lactoza. Poate contine urme de gluten, soia, arahide si lupin."
Napolitane cu crema de lapte si de nuga 25g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Napolitane/Napolitane-cu-crema-de-lapte-si-de-nuga-25g/p/8418,33.2 g/100 g,551 kcal/100 g,52.4 g/100 g,N/A,0.39 g/100 g,8.8 g/100 g,18.6 g/100 g,"Zahar, grasimi vegetale (palmier, shea), LAPTE praf degresat 13.5%, faina de GRAU 12.3%, ALUNE 9.1%, faina de GRAU integral 6.1%, cacao, grasimi din UNT 2.6%, cacao cu continut redus de grasime, amidon din GRAU, emulsifiant: lecitine (SOIA), produse din ZER, FRISCA praf 0.2%, sare, arome naturale, agent de afanare: carbonat de sodiu. Corespunde unui continut total de lapte de 10%.","Contine gluten, alune, lapte si soia. Poate contine bucati de migdale, arahide, alte fructe in coaja si oua."
Biscuiti de cacao cu crema cu aroma de vanilie 66g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-cu-crema/Biscuiti-de-cacao-cu-crema-cu-aroma-de-vanilie-66g/p/70891,19.5 g/100 g,480 kcal/100 g,70.5 g/100 g,2.4 g/100 g,0.40 g/100 g,4.9 g/100 g,N/A,"Faina de grau, zahar, grasime si ulei vegetal, cacao cu continut redus de grasime (4.6%), amidon din grau, sirop de glucoza-fructoza, agenti de afanare (carbonat acid de potasiu, carbonat acid de amoniu, carbonat acid de sodiu), sare, emulsificatori (lecitina din soia, lecitina din floarea soarelui), aroma.",Contine gluten si soia. Poate contine urme de lapte.
Biscuiti Petit Beurre 460g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Biscuiti-Petit-Beurre-460g/p/37821,10.2 g/100 g,425 kcal/100 g,74.6 g/100 g,1.7 g/100 g,0.6 g/100 g,8 g/100 g,5.1 g/100 g,"Faina de GRAU, zahar, ulei vegetal (palmier), zahar invertit, agenti de afanare (carbonat de amoniu, carbonat acid de sodiu), amidon din porumb, sare iodata, stabilizator (pirofosfat de sodiu), emulsifiant (lecitina din SOIA, arome, agent de tratare a fainii (METABISULFIT de sodiu), acidifiant (Acid citric).","Contine: gluten, soia si sulfiti. Poate sa contina urme de lactoza si susan."
Baton de ciocolata cu stafide si crema de rom 30g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-cu-stafide-si-crema-de-rom-30g/p/33943,18 g/100 g,446 kcal/100 g,67 g/100 g,N/A,<0.01 g/100 g,2.1 g/100 g,7.5 g/100 g,"Umplutura 82% (zahar, sirop de glucoza, grasime vegetala hidrogenata (palmier, SOIA, rapita, shea), pudra de cacao cu continut redus de grasime, stafide 1%, alcool etilic rafinat de origine agricola, derivat din zer pudra (LAPTE), grasime vegetala partial hidrogenata ?SOIA, palmier, rapita, shea), emulsifianti (lecitina din SOIA, E476), arome, rom 0.1%?, glazura de cacao 18% ?zahar, grasime vegetala hidrogenata (palmier, SOIA, rapita, shea), pudra de cacao cu continut redus de grasime 2.8%, emulsifianti (lecitina din SOIA, E476), aroma. Continut de cacao (in invelis): min 15.5%.","Contine: gluten din grau, lapte, ou, soia. Poate contine urme de arahide si alune. Continut de alcool."
Ciocolata cu crema cu aroma de capsuni 26g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Ciocolata-cu-crema-cu-aroma-de-capsuni-26g/p/91100,18 g/100 g,449 kcal/100 g,68 g/100 g,1 g/100 g,0.19 g/100 g,3.1 g/100 g,13 g/100 g,"Sirop de glucoza, zahar, grasimi vegetale (palmier, shea), masa de cacao, unt de cacao, LAPTE praf degresat, ZER pudra (LAPTE), UNT, albus de OU pudra, emulsifianti (lecitina de SOIA, poliricinoleat de poliglicerol, lecitina de floarea soarelui), arome, apa, colorant (Carmin), antioxidant (Acid citric). Ciocolata cu lapte contine: substanta uscata de cacao: 25% minim.","Contine: lapte, ou si soia. Poate contine urme de fructe cu coaja lemnoasa si gluten."
Ciocolata cu lapte alpin 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-alpin-100g/p/3680,29 g/100 g,532 kcal/100 g,59 g/100 g,1.8 g/100 g,0.27 g/100 g,6.1 g/100 g,17 g/100 g,"Zahar, unt de cacao, LAPTE praf degresat, masa cacao, ZER praf (LAPTE), grasime din LAPTE, emulsifiant (lecitine din SOIA), pasta de ALUNE de padure, aroma. Substanta uscata de cacao: 30% minimum.","Contine lapte, soia si alune de padure. Poate contine alte fructe cu coaja lemnoasa si grau."
Rondele de paine cu usturoi 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Rondele-de-paine-cu-usturoi-80g/p/51297,15 g/100 g,451 kcal/100 g,64 g/100 g,N/A,2.7 g/100 g,14 g/100 g,6.0 g/100 g,"Faina de GRAU, ulei de palmier, sare iodata, zahar, usturoi deshidratat 1%, drojdie, aroma de usturoi naturala, faina de SOIA.","Contine gluten si soia. Fabricat intr-o unitate care utilizeaza ca materii prime: produse din lapte, oua, arahide, susan si telina."
Chips cu sare 140g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Sare/Chips-cu-sare-140g/p/20989,35 g/100 g,536 kcal/100 g,47 g/100 g,N/A,1.3 g/100 g,6.8 g/100 g,3.2 g/100 g,"Cartofi, ulei de floarea soarelui (35%), sare (1.3%).","Poate contine urme de gluten, lapte, soia si mustar."
Chipsuri cu gust de smantana si ceapa 140g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Alte-arome/Chipsuri-cu-gust-de-smantana-si-ceapa-140g/p/20964,35 g/100 g,543 kcal/100 g,48 g/100 g,N/A,1.4 g/100 g,5.8 g/100 g,N/A,"Cartofi, ulei de floarea soarelui, sare de masa, smantana acra praf (0.8%), ceapa pudra (0.8%), zahar, extract de drojdie, aroma, zer dulce praf, lapte praf degresat, patrunjel (0.1%), usturoi pudra, acidifiant (acid lactic), extract de condimente, mustar.","Smantana, zer, lapte, mustar. Poate contine urme de gluten si soia."
Napolitana cu ciocolata si crema de alune Choco Wafer Nut 30g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Napolitane/Napolitana-cu-ciocolata-si-crema-de-alune-Choco-Wafer-Nut-30g/p/4609,29.5 g/100 g,530 kcal/100 g,57.5 g/100 g,2 g/100 g,0.4 g/100 g,7.2 g/100 g,16.5 g/100 g,"Ciocolata cu lapte din Alpi 60% (zahar, unt de cacao, masa de cacao, lapte praf degresat, zer praf (din lapte), grasime din lapte emulsificator, (lecitina din soia), aroma), faina din grau, uleiuri vegetale (palmier, rapita, cocos in proportii variabile), zahar, zer praf (din lapte), lapte praf degresat, dextroza, faina de soia, pasta de alune 0.8%, (2.9% in crema), cacao cu continut redus de grasime, emulsificator (lecitina din soia), aroma, agent de afanare (E500), sare.","Contine lapte, soia si alune. Poate contine oua."
Croissant cu crema alune si cacao 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Croissant/Croissant-cu-crema-alune-si-cacao-80g/p/85594,30 g/100 g,473 kcal/100 g,43 g/100 g,N/A,0.4 g/100 g,6.7 g/100 g,15 g/100 g,"Faina de grau, margarina (grasimi vegetale, apa, sare iodata, emulsifiant (mono- si digliceride ale acizilor grasi), acidifiant (acid citric), aroma, conservant (sorbat de potasiu 0.1%)), umplutura de alune de padure 18% (zahar, uleiuri vegetale, pasta de alune de padure 10%, lapte praf degresat, cacao pudra cu continut scazut de grasime 6%, emulsifiant (lecitina din soia), arome), umplutura de cacao 8% (zahar, apa, pudra de cacao 11%, sirop de glucoza-fructoza, uleiuri vegetale, lapte praf integral, alcool etilic, emulsifiant (lecitina din soia), conservant (sorbat de potasiu 0.2%)), zahar, stabilizator (mono- si digliceride ale acizilor grasi), drojdie, sirop de glucoza-fructoza, sare iodata, arome, faina de soia, conservant (propionat de calciu 0.1%).","Contine: soia, gluten, lapte si alune de padure. Poate contine urme de: oua, arahide si nuci."
Croissant cu umplutura cu cacao si nuca de cocos 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Croissant/Croissant-cu-umplutura-cu-cacao-si-nuca-de-cocos-80g/p/84064,28 g/100 g,452 kcal/100 g,43 g/100 g,N/A,0.5 g/100 g,6 g/100 g,15 g/100 g,"Aluat: faina de GRAU, uleiuri vegetale (ulei de palmier, ulei de floarea soarelui), zahar, cocos deshidratat pudra, sirop de glucoza-fructoza, drojdie, sare iodata, stabilizator (mono- si digliceride ale acizilor grasi), vanilina, corector de aciditate (acid citric), conservanti (propionat de calciu, sorbat de potasiu). Aluatul contine 5% pudra de cocos deshidratata. Umplutura cu cacao 17%: zahar, ulei de palmier, cacao pudra cu continut redus de grasime, LAPTE praf degresat, alcool etilic, emulsifiant (esteri poliglicerici ai acizilor grasi), vanilina, agent gelatinizant (alginat de sodiu), conservant (sorbat de potasiu). Umplutura cu cacao contine 7% cacao pudra cu continut redus de grasime. Umplutura cu nuca de cocos 11%: zahar, ulei de palmier, LAPTE praf degresat, lapte de cocos pudra, praf de galbenus de OU, alcool etilic, emulsifiant (esteri poliglicerici ai acizilor grasi), corectori de aciditate (difosfat disodic, acid fosforic), guma de celuloza, aroma,LACTOZA,sorbat potasiu.","Contine gluten, lapte, si oua. Fabricat intr-o unitate care utilizeaza ca materii prime: arahide, alune de padure, migdale, produse din soia, susan."
Ciocolata amaruie 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-amaruie-100g/p/71847,31 g/100 g,525 kcal/100 g,50 g/100 g,N/A,<0.01 g/100 g,6.4 g/100 g,19 g/100 g,"Zahar, pasta de cacao, unt de cacao, UNT concentrat, emulgator (lecitina de SOIA), extract de vanilie. Ciocolata amara - cacao: min.50%.","Contine: soia si lapte. Poate contine urme de: arahide, fructe cu coaja, gluten si oua."
Biscuiti sarati Original 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Biscuiti-sarati-Original-100g/p/70561,19 g/100 g,493 kcal/100 g,70 g/100 g,2.8 g/100 g,1.72 g/100 g,8.8 g/100 g,1.7 g/100 g,"Faina de GRAU, ulei de floarea soarelui 17%, sirop de glucoza-fructoza, extract din malt de ORZ (agenti de afanare (carbonati de amoniu, carbonati de sodiu), sare 1.4%, OU, aroma, agent de tratare a fainii (METABISULFIT de sodiu).","Contine: gluten, oua si sulfiti. Poate contine lapte, soia si seminte de susan."
Chipsuri din cartofi cu gust de smantana si marar 140g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Alte-arome/Chipsuri-din-cartofi-cu-gust-de-smantana-si-marar-140g/p/55934,33 g/100 g,528 kcal/100 g,49 g/100 g,4.3 g/100 g,1.2 g/100 g,6.6 g/100 g,2.6 g/100 g,"Cartofi, uleiuri vegetale (floarea soarelui, rapita in proportii variabile), ZER pudra (contine derivate din LAPTE), faina de orez, sare, faina de GRAU, zahar, SMANTANA pudra 0.05% (contine derivate din LAPTE, LACTOZA), condimente, plante aromatice (patrunjel 0.04%, marar 0.001%), acidifiant (acid citric), arome.",Contine lapte si grau.
Croissant cu crema cu aroma de vin spumant 65g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Croissant/Croissant-cu-crema-cu-aroma-de-vin-spumant-65g/p/5343,28 g/100 g,457 kcal/100 g,43 g/100 g,N/A,0.45 g/100 g,6 g/100 g,16 g/100 g,"Aluat: faina de GRAU, uleiuri vegetale (ulei de palmier, ulei de floarea soarelui), zahar, sirop de glucoza-fructoza, drojdie, sare iodata, stabilizator (mono- si digliceride ale acizilor grasi), vanilina, corector de aciditate (Acid citric), conservanti (propionat de calciu, sorbat de potasiu). Crema cu aroma de vin spumant 23%: zahar, ulei de palmier, LAPTE praf degresat, alcool etilic, praf de galbenus de OU, vin spumant 1%, emulsifiant (esteri poliglicerigi ai acizilor grasi), aroma, stabilizator (guma de celuloza), conservant (sorbat de potasiu), LACTOZA (LAPTE).","Contine: gluten, lapte si ou. Fabricat intr-o unitate care utilizeaza ca materii prime: arahide, alune de padure, migdale, produse din soia, susan."
Seminte albe de floarea-soarelui usor sarate si prajite 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Seminte/Seminte-albe-de-floarea-soarelui-usor-sarate-si-prajite-200g/p/15950,28 g/100 g,429 kcal/100 g,6 g/100 g,N/A,2 g/100 g,16 g/100 g,3.5 g/100 g,"Seminte albe de floarea-soarelui, sare (2%).",N/A
Chips cu gust de smantana si ceapa 165g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Alte-arome/Chips-cu-gust-de-smantana-si-ceapa-165g/p/75361,30 g/100 g,525 kcal/100 g,56 g/100 g,3.4 g/100 g,1.3 g/100 g,6.0 g/100 g,2.80 g/100 g,"Cartofi deshidratati, uleiuri vegetale (floarea soarelui, porumb), faina de orez, amidon de GRAU, faina de porumb (amidon de GRAU, potentiator de aroma (glutamat monosodic, guanilat disodic, inozinat disodic), praf de ceapa, maltodextrina, sare, dextroza, zahar, praf de ZER dulce (LAPTE), amidon de porumb (acid citric, acid lactic, acid malic), SMANTANA fermentata pudra (LAPTE), arome (LAPTE), extract de drojdie, sirop de glucoza, proteine din LAPTE, faina de orez), emulsificator, colorant (annatto).",Contine gluten si lapte.
Chipsuri din cartofi cu gust de cascaval 140g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Alte-arome/Chipsuri-din-cartofi-cu-gust-de-cascaval-140g/p/55128,33 g/100 g,525 kcal/100 g,48 g/100 g,4.2 g/100 g,1.2 g/100 g,6.9 g/100 g,2.7 g/100 g,"Cartofi, uleiuri vegetale (floarea soarelui, rapita in proportii variabile), ZER pudra (contine proteine din LAPTE si LACTOZA), sare, dextroza, arome, CASCAVAL pudra 0.5% (contine proteina din LAPTES si LACTOZA), extract de ardei rosu.",Contine lapte si lactoza.
Chipsuri rumeniti in cuptor cu iaurt si plante aromatice 125g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Alte-arome/Chipsuri-rumeniti-in-cuptor-cu-iaurt-si-plante-aromatice-125g/p/46983,14 g/100 g,440 kcal/100 g,70 g/100 g,3.8 g/100 g,1.3 g/100 g,5.3 g/100 g,1.6 g/100 g,"Fulgi din cartofi (59%), amidon, ulei de rapita, mix de ingrediente cu gust de IAURT si plante aromatice (ZER pudra din LAPTE, sare, usturoi pudra, zahar, potentiatori de aroma (monoglutamat de sodiu, 5-ribonucleotide disodice), ceapa pudra, clorura de potasiu, plante aromatice 0.12% (patrunjel, marar, menta), IAURT pudra din LAPTE (0.12%), arome, corectori de aciditate (acid malic, acid citric), zahar, faina de GRAU, emulsifiant (lecitina de SOIA), dextroza.","Contine: lapte, gluten si soia."
Napolitana cu lapte si umplutura de lapte si alune 43g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Napolitana-cu-lapte-si-umplutura-de-lapte-si-alune-43g/p/3634,37.3 g/100 g,572 kcal/100 g,49.5 g/100 g,N/A,0.272 g/100 g,8.6 g/100 g,N/A,"Ciocolata cu lapte 31.5% (zahar, unt de cacao, masa de cacao, lapte praf degresat, unt deshidratat, emulgator: lecitina (soia), vanilina), zahar, ulei vegetal, faina de grau, alune (10.8%), lapte praf degresat, lapte praf integral, ciocolata (zahar, masa de cacao, unt de cacao, emulgator: lecitina (soia), vanilina), cacao degresata pudra, emulgator: lecitina (soia), agenti de afanare (bicarbonat de sodiu, carbonat de amoniu), sare, vanilina. Substanta uscata de cacao min. 25% in ciocolata cu lapte, min 35% in ciocolata. Total lapte in substanta solida uscata: 19.5%.",N/A
Biscuiti cu spuma de lapte si cacao 18g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-cu-crema/Biscuiti-cu-spuma-de-lapte-si-cacao-18g/p/13370,8.4 g/100 g,414 kcal/100 g,80.6 g/100 g,2.6 g/100 g,0.2 g/100 g,3.1 g/100 g,5 g/100 g,"Zahar, sirop de glucoza-fructoza, faina de GRAU, grasimi vegetale (palmier, floarea soarelui, bumbac, rapita), faina de roscove, gelatina comestibila de vita, pudra de cacao 0.7%, agenti de afanare (carbonat acid de amoniu, carbonat acid de sodiu), sare, arome, corector de aciditate (pirofosfat acid de sodiu), emulsifiant (lecitina de floarea soarelui), conservant (METABISULFIT de sodiu), agent antiaglomerant (talc), stabilizator (guma arabica).",Contine gluten si sulfiti. Poate contine lapte si oua in cantitati minime.
