Product name,link,nutritional_info/Grasimi,nutritional_info/Valoare energetica,nutritional_info/Glucide,nutritional_info/Fibre,nutritional_info/Sodiu,nutritional_info/Proteine,nutritional_info/Grasimi saturate,Ingrediente,Alergeni
Praline cu ciocolata si crema de menta 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Praline-cu-ciocolata-si-crema-de-menta-200g/p/63150,12.9 g/100 g,428 kcal/100 g,74.1 g/100 g,2.8 g/100 g,0.03 g/100 g,2.1 g/100 g,7.4 g/100 g,"zahar, masa de cacao, sirop de glucoza, unt de cacao, grasime din lapte, lapte praf degresat, zer praf (din lapte), stabilizator (invertaza), emulgator (lecitine), ulei vegetal de menta, sare, acidifiant (acid citric). Ciocolata contine substanta uscata de cacao: 50% minim.",Contine produse derivate din lapte.
Baton de ciocolata cu stafide si rom 45g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-cu-stafide-si-rom-45g/p/97697,18 g/100g,440 kcal/100g,67 g/100g,N/A,<0.01 g/100 g,2.0 g/100g,10 g/100 gg,"Umplutura 82% (zahar, sirop de glucoza, grasime vegetala hidrogenata (palmier, SOIA, rapita, shea), pudra de cacao cu continut redus de grasime, stafide 1%, alcool etilic rafinat de origine agricola, derivat din zer pudra (LAPTE), grasime vegetala partial hidrogenata ?SOIA, palmier, rapita, shea), emulemulsifianti (lecitina din SOIA, E476), arome, rom 0.1%?, glazura de cacao 18% ?zahar, grasime vegetala hidrogenata (palmier, SOIA, rapita, shea), pudra de cacao cu continut redus de grasime 2.8%,emulsifianti (lecitina din SOIA, E476), aroma. Continut de cacao (in invelis): min 15.5%.","Contine: soia si lapte. Poate contine urme de arahide, fructe cu coaja lemnoasa, gluten si oua."
Ou de ciocolata cu surprize 20g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Alte-tipuri-de-ciocolata/Ou-de-ciocolata-cu-surprize-20g/p/55852,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ciocolata cu lapte cu umplutura fina de lapte si cereale 23.5g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Ciocolata-cu-lapte-cu-umplutura-fina-de-lapte-si-cereale-23-5g/p/66024,33.8 g/100 g,561 kcal/100 g,54.9 g/100 g,N/A,0.275 g/100 g,8.6 g/100 g,N/A,"Ciocolata cu lapte 33.5% (zahar, unt de cacao, lapte praf integral, masa de cacao, emulgator: lecitina (soia), vanilina), zahar, lapte praf degresat, grasime vegetala, cereale expandate 7.5% (orz, orez, grau imbracat, hrisca), unt deshidratat, emulgator: lecitina (soia), vanilina. Substanta uscata de cacao minim 30% in ciocolata cu lapte. Total lapte in substanta uscata a 30.5%.","Contine: lapte, soia si gluten."
"Baton de ciocolata cu nuga, caramel si arahide 75g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-cu-nuga-caramel-si-arahide-75g/p/35354,23 g/100 g,485 kcal/100 g,60.2 g/100 g,N/A,0.60 g/100 g,8.6 g/100 g,N/A,"Zahar, sirop de glucoza, arahide, lapte praf degresat, unt de cacao, masa de cacao, grasime de palmier, lactoza, pudra de zer (din lapte), grasimi din lapte, sare, emulsificator (lecitina din soia), pudra de albus de ou, proteine hidrolizate din lapte, extract natural de vanilie.",N/A
Ciocolata neagra 85% cacao 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-neagra-85-cacao-100g/p/36755,46 g/100 g,584 kcal/100 g,22 g/100 g,N/A,0.02 g/100 g,12.5 g/100 g,27 g/100 g,"Masa de cacao, cacao cu continut redus de grasime, unt de cacao, zahar brut, vanilie.","Poate contine urme de: fructe cu coaja lemnoasa, lapte, soia si seminte de susan."
Selectie de ciocolata cu lapte 196g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Selectie-de-ciocolata-cu-lapte-196g/p/48720,25 g/100 g,499 kcal/100 g,62 g/100 g,N/A,0.37 g/100 g,5.7 g/100 g,15 g/100 g,"zahar, sirop de glucoza, unt de cacao, LAPTE praf degresat, masa de cacao, grasimi din LAPTE, LACTOZA, faina de GRAU, grasime de palmier, ARAHIDE, nuca de cocos deshidratata, pudra de zer (din LAPTE), ulei de samburi de palmier, LAPTE praf integral, ulei de floarea soarelui, emulsifianti (lecitina din SOIA,E471), extract de mart din ORZ, cacao cu continut redus de grasime, sare, agent de umezire (glicerol), PRAF DE ALBUS DE OU, extract natural de vanilie, agenti de afanare (E341, E500, E501), poteine din LAPTE, gluten din GRAU, min. 25% cacao deshidratata.","Contine: orz, oua, lapte, arahide, soia, grau. Poate contine: migdale, alune de padure, ovaz."
Ciocolata cu 80% cacao 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-80-cacao-80g/p/46992,44 g/100 g,558 kcal/100 g,21 g/100 g,N/A,0.03 g/100 g,11 g/100 g,27 g/100 g,"Masa de cacao, pudra de cacao cu continut redus de grasime, zahar, unt de cacao, grasime vegetala (palmier, shea), emulsifianti (lecitina din SOIA, poliricinoleat de poliglicerina), aroma. Ciocolata contine substanta uscata de cacao: minimum 80%.","Contine soia. Poate contine urme de arahide, fructe cu coaja lemnoasa, lapte, gluten, oua."
Ciocolata alba cu crema de cappuccino 90g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-alba-cu-crema-de-cappuccino-90g/p/62683,39 g/100 g,581 kcal/100 g,51 g/100 g,N/A,0.19 g/100 g,5.6 g/100 g,25 g/100 g,"Zahar, unt de cacao, LAPTE praf integral, grasimi vegetale (palmier, shea), LAPTE praf degresat, emulsifiant (lecitina (contine SOIA), aroma de cappuccino 0.04%.","Lapte, soia. Poate contine urme de fructe cu coaja lemnoasa si gluten."
Baton ciocolata cu lapte 30g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-ciocolata-cu-lapte-30g/p/95198,23.6 g/100 g,492 kcal/100 g,64 g/100 g,2.6 g/100 g,0.01 g/100 g,4.6 g/100 g,N/A,"Zahar, masa de cacao, lapte praf partial degresat, unt de cacao, sirop de glucoza, grasime vegetala partial hidrogenata (soia, palmier, shea), grasime vegetala (palmier, shea), pudra de cacao cu continut redus de grasime, agent de umezire (sirop de sorbitol), alcool etilic rafinat, lapte praf degresat, rom 0.1%, stabilizator (invertaza), emulsifiant (lecitina din soia), arome. Continut alcool: max 1.6%. Ciocolata cu lapte contine: substanta uscata de cacao min. 35%, substanta uscata din lapte min. 14%.","Ciocolata cu lapte contine si alte grasimi vegetale pe langa untul de cacao. Contine lapte, soia. Poate contine urme de arahide, alune, gluten din grau si orz, ou."
Ciocolata cu lapte si crema Oreo 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-si-crema-Oreo-100g/p/94031,35 g/100 g,557 kcal/100 g,55 g/100 g,1.3 g/100 g,0.49 g/100 g,5.3 g/100 g,19 g/100 g,"Zahar, ulei vegetal (palmier), unt de cacao, zer praf (din LAPTE), LAPTE praf degresat, faina de GRAU, masa de cacao, grasime din LAPTE, cacao cu continut redus de grasime (0.7%), emulsifianti (lecitina din SOIA, lecitina din floarea soarelui), amidon din GRAU, pasta de ALUNE, agenti de afanare (E501, E503, E500), sare, arome, contine sirop de glucoza si/sau sirop de glucoza-fructoza. Crema de lapte alpin contine 7% LAPTE praf degresat.","Contine: lapte, alune si soia. Poate contine varietati similare de nuci."
Ciocolata cu lapte 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-100g/p/33609,35 g/100 g,533 kcal/100 g,51 g/100 g,N/A,0.18 g/100,6.9 g/100 g,21 g/100 g,"Zahar, unt de cacao, LAPTE praf integral, masa de cacao, grasime din LAPTE, emulsifiant: lecitina de SOIA, aroma naturala de vanilie.","LAPTE, SOIA. Poate contine urme de: MIGDALE si ALUNE DE PADURE."
Praline cu ciocolata cu crema de menta si portocala 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Praline-cu-ciocolata-cu-crema-de-menta-si-portocala-200g/p/34867,12.9g/100g,427kcal/100g,73.9g/100g,2.7g/100g,0.07g/100g,2.2g/100g,7.40 g/100 g,"Zahar, masa de cacao, sirop de glucoza, unt de cacao, grasime din LAPTE, LAPTE praf degresat, ZER praf (din lapte), aroma naturala de portocala, stabilizator (invertaza), emulgator (lecitine), sare, ulei vegetal de menta, acidifiant (acid citric). Ciocolata contine substanta uscata de cacao: 50% minim.",Contine produse derivate din lapte.
"Ou de ciocolata cu surpriza, pentru fete 20g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Alte-tipuri-de-ciocolata/Ou-de-ciocolata-cu-surpriza-pentru-fete-20g/p/92508,34.2 g/100 g,552 kcal/100 g,52.3 g/100 g,N/A,0.323 g/100 g,8.1 g/100 g,22.6 g/100 g,"Ciocolata cu LAPTE 47% (zahar, LAPTE praf integral, unt de cacao, masa de cacao, emulgator lecitina (SOIA), vanilina, LAPTE praf degresat (17%), zahar, grasimi vegetale (palmier, shea), vanilina. Substanta uscata de cacao: min.30% in ciocolata cu lapte. Total lactate: 30%. Total constituenti cacao: 15%.","Contine lapte, unt si soia."
"Baton de biscuit, caramel si ciocolata cu lapte 50g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-biscuit-caramel-si-ciocolata-cu-lapte-50g/p/21825,23.9 g/100 g,494 kcal/100 g,64.6 g/100 g,N/A,0.41 g/100 g,4.5 g/100 g,13.8 g/100 g,"Zahar, sirop de glucoza, faina de GRAU (17%), grasime de palmier, unt de cacao, LAPTE praf degresat, masa de cacao, LACTOZA, grasimi din LAPTE, pudra de zer (din LAPTE), cacao degresata, sare, emulsificator (lecitina din SOIA), agent de crestere (E500), extract natural de vanilie.","Gluten, lapte, soia. Poate sa contina aluna, migdala, gluten (orz, ovaz)."
"Ciocolata cu lapte, nugat, miere si migdale 100g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-nugat-miere-si-migdale-100g/p/3841,29.5 g/100 g,535 kcal/100 g,60.5 g/100 g,2.2 g/100 g,0.15 g/100 g,5.6 g/100 g,18 g/100 g,"Zahar, LAPTE praf integral, unt de cacao, masa de cacao, miere (3%), grasime din LAPTE, MIGDALE (1.6%), emulsificator (lecitina din SOIA), albus de OU pudra, aroma.","Contine: lapte, migdale, soia si ou."
Ciocolata cu lapte alpin cu crema cu aroma de capsune 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-alpin-cu-crema-cu-aroma-de-capsune-100g/p/3677,34 g/100 g,552 kcal/100 g,57 g/100 g,0.9 g/100 g,0.47 g/100 g,4.6 g/100 g,19 g/100 g,"Zahar, ulei de palmier, zer praf (din LAPTE), unt de cacao, LAPTE praf degresat, masa de cacao, grasime din LAPTE, emulsifianti (lecitina din SOIA, lecitina din floarea soarelui), dextroza, arome, pasta de ALUNE de padure, capsune uscate (0.2%), maltodextrina, acidifiant (acid citric).","Contine: lapte, alune de padure si soia. Poate contine alte fructe cu coaja lemnoasa si grau."
Specialitati de ciocolata asortata 250g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Specialitati-de-ciocolata-asortata-250g/p/5596,37.2 g/100 g,568 kcal/100 g,46.9 g/100 g,N/A,0.24 g/100 g,9.6 g/100 g,19.1 g/100 g,"Zahar, unt de cacao, LAPTE praf integral, masa de cacao, MIGDALE, FRISCA praf, ALUNE (3.8%), LACTOZA, ZARA praf, LAPTE praf degresat, faina de orez, emulsifiant: lecitine (SOIA), sirop de glucoza, miere, proteina din GRAU, grasimi vegetale (cocos, palmier), sare, malt din GRAU, arome, FISTIC tocat, albus de OU, amidon din cartofi. Ciocolata cu lapte cu bucati de alune si migdale: ciocolata cu lapte contine substanta uscata de cacao 32% min. Ciocolata amaruie cu frisca cu bucati de migdale:ciocolata cu frisca contine substanta uscata de cacao 45% min. Ciocolata alba cu bucati de migdale si fulgi de orez crocant: ciocolata alba contine substanta uscata de cacao 28% min. Ciocolata cu lapte cu bucati de migdale si nuga: ciocolata cu lapte contine substanta uscata de cacao 32% min.","Contine: lapte, migdale, alune, soia, gluten, ou si fistic. Toate sortimentele pot contine bucati de alune, arahide, alte tipuri de fructe in coaja, grau si ou."
"Specialitati crocante de nuca de cocos, cu migdala intreaga in interior 150g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Specialitati-crocante-de-nuca-de-cocos-cu-migdala-intreaga-in-interior-150g/p/3204,48.3 g/100 g,627 kcal/100 g,38.6 g/100 g,N/A,0.267 g/100 g,7.4 g/100 g,29.50 g/100 g,"Nuca de cocos deshidratata 23,5%, zahar, ulei vegetal, grasime vegetala, MIGDALA (8%), LAPTE praf degresat, ZER praf, faina de GRAU, arome, emulgator: lecitina (SOIA), sare, agent de afanare (bicarbonat de sodiu).","Contine: lapte, soia si gluten (grau)."
"Baton de biscuit, caramel si ciocolata cu lapte 75g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-biscuit-caramel-si-ciocolata-cu-lapte-75g/p/2939,23.8 g/100 g,495 kcal/100 g,65.1 g/100 g,N/A,0.38 g/100 g,4.3 g/100 g,13.7 g/100 g,"Zahar, sirop de glucoza, faina de GRAU, grasime de palmier, unt de cacao, LAPTEpraf degresat, masa de cacao, grasimi din LAPTE, LACTOZA, pudra de zer (din LAPTE), emulsificatori (lecitina din SOIA, E442), sare, cacao degresata, agent de crestere (E500), extract natural de vanilie.","Gluten, lapte, soia. Poate contine aluna, migdala, orz, ovaz."
"Ciocolata cu lapte, caramel si alune intregi 300g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-caramel-si-alune-intregi-300g/p/96777,35 g/100 g,553 kcal/100 g,52 g/100 g,1.8 g/100 g,0.39 g/100 g,5.9 g/100 g,17 g/100 g,"Zahar, ulei de palmier, unt de cacao, LAPTE praf degresat, ALUNE de padure, zer praf (din LAPTE), masa de cacao, sirop de glucoza, grasime din LAPTE, LAPTE condensat indulcit, degresat, agent de umezire (glicerol), emulsifiant (lecitina din SOIA), sirop de zahar invertit, sirop de zahar caramelizat (0.4%), arome, sare. Crema de lapte contine 7.5% LAPTE praf degresat.","Contine: lapte, alune de padure si soia. Poate contine alte fructe cu coaja lemnoasa si grau."
Ciocolata amaruie 85% cacao 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-amaruie-85-cacao-80g/p/39614,52 g/100 g,603 kcal/100 g,16 g/100 g,N/A,0.02 g/100 g,9.3 g/100 g,31 g/100 g,"Masa de cacao, unt de cacao, cacao pudra, zahar, emulsifiant (lecitine (contine SOIA), aroma de vanilie naturala. Substanta uscata de cacao in ciocolata 85% minimum.","Soia. Poate contine urme de fructe cu coaja lemnoasa, gluten si lapte."
Ciocolata cu 70% cacao 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-70-cacao-80g/p/46993,40 g/100 g,541 kcal/100 g,29 g/100 g,N/A,0.02 g/100 g,9.2 g/100 g,24 g/100 g,"Masa de cacao, zahar, pudra de cacao cu continut redus de grasime, unt de cacao, grasime vegetala (palmier, shea), emulsifianti (lecitina din SOIA, poliricinoleat de poliglicerina), aroma. Ciocolata contine substanta uscata de cacao: minimum 70%.","Contine soia. Poate contine urme de arahide, fructe cu coaja lemnoasa, lapte, gluten, oua."
Baton cu cocos si rom 40g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-cu-cocos-si-rom-40g/p/37820,27 g/100 g,501 kcal/100 g,57 g/100 g,N/A,0.15 g/100 g,4.30 g/100 g,14 g/100 g,"Zahar, fulgi de cocos 17%, grasime vegetala(ulei de palmier, ulei de shea), agenti de umezire, LAPTE praf degresat, sirop de glucoza, grasime vegetala (ulei de shea, ulei de palmier, ulei de palmier partial hidrogenat), ZER praf (din LAPTE), pudra de cacao cu continut redus de grasime 2.8%, emulsifianti(lecitina din SOIA, poliricinoleat de poliglicerina), arome, rom 0.1%.",Contine lapte si soia.
"Baton de ciocolata cu lapte, caramel si nuga 51g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-cu-lapte-caramel-si-nuga-51g/p/30046,N/A,N/A,N/A,N/A,N/A,3.8 g/100 g,7.8 g/100 g,"Zahar, sirop de glucoza, LAPTE praf degresat, unt de cacao, masa de cacao, ulei de floarea soarelui, grasimi din LAPTE, LACTOZA, pudra de zer (din LAPTE), cacao degresata, extract de malt din ORZ, sare, emulsificator (lecitina din SOIA), pudra de albus de OU, grasime de palmier, proteine din LAPTE, extract natural de vanilie.","Contine gluten, lapte si soia. Poate contine arahide si alune."
Ciocolata aerata cu lapte 90g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-aerata-cu-lapte-90g/p/94033,30 g/100 g,534 kcal/100 g,58 g/100 g,1.9 g/100 g,0.36 g/100 g,6.3 g/100 g,18 g/100 g,"Zahar, unt de cacao, LAPTE praf degresat, masa de cacao, zer praf (din LAPTE), grasime din LAPTE, pasta de ALUNE DE PADURE, emulsifianti (lecitina din SOIA, E476), aroma naturala. Cacao: 30% minimum.","Contine: lapte, alune de padure si soia. Poate contine alte fructe cu coaja lemnoasa si grau."
Ciocolata cu lapte si alune 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-si-alune-100g/p/33614,42 g/100 g,589 kcal/100 g,42 g/100 g,N/A,0.13 g/100 g,8.7 g/100 g,17 g/100 g,"Zahar, ALUNE de padure prajite 25%, unt de cacao, LAPTE praf integral, masa de cacao, grasime din LAPTE, emulsifiant: lecitina de SOIA, aroma naturala de vanilie.","SOIA, LAPTE, ALUNE DE PADURE. Poate contine urme de: MIGDALE."
Baton de ciocolata duo 60g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-duo-60g/p/12948,21.5 g/100 g,487 kcal/100 g,68.5 g/100 g,1.3 g/100 g,0.49 g/100 g,4.2 g/100 g,12.1 g/100 g,"Sirop de glucoza fructoza, zahar, uleiuri vegetale (palmier, shea, samburi de palmier), faina de GRAU, LAPTE condensat indulcit (LAPTE, zahar), ZER praf (din LAPTE), cacao pudra (2.5%) cu continut redus de grasime, maltodextrina, LAPTE praf degresat, amidon din GRAU, sare, emulgator (lecitine), agent de afanare (carbonati de sodiu), zahar caramelizat, agent de ingrosare (caragenan), aroma naturala.","Grau, lapte. Poate contine arahide, soia si varietati de nuci. e."
Ciocolata cu lapte cu interior crocant de napolitana si crema de cacao 40g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Ciocolata-cu-lapte-cu-interior-crocant-de-napolitana-si-crema-de-cacao-40g/p/63440,29.2 g/100 g,533 kcal/100 g,61.5 g/100 g,N/A,N/A,5.2 g/100 g,N/A,"Zahar, faina de grau, unt de cacao, lapte praf integral, masa de cacao, grasime vegetala, zer praf (din lapte), grasime din lapte, emulgator (lecitina de floarea soarelui), arome, sare, agent de afanare (carbonat de sodiu).",Contine gluten. Poate contine urme de arahide si alte varietati similare.
Ciocolata cu lapte si cocos 90g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-si-cocos-90g/p/89858,5.9 g/100 g,360 kcal/100 g,75.0 g/100 g,1.2 g/100 g,0.09 g/100 g,1.3 g/100 g,N/A,"Zahar, ciocolata cu lapte (20%) (zahar, lapte praf integral, masa de cacao, unt de cacao, zer praf (din lapte), grasime vegetala (palmier, Shea), grasime din lapte, emulsificatori (lecitina din soia, E476, lecitina din floarea soarelui), aroma), sirop de glucoza, apa, agent de umezire (sorbitol), gelifiant (pectina), acidifiant (E330), corector de aciditate (E331iii), arome, coloranti (E120, E100). Ciocolata cu lapte contine si alte grasimi vegetale pe langa unul de cacao.","Poate contine ou, varietati similare de nuci si arahide."
Ciocolata Trilogia 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-Trilogia-100g/p/70025,34 g/100 g,554 kcal/100 g,55 g/100 g,N/A,0.18 g/100 g,6.1 g/100 g,18 g/100 g,"Zahar, unt de cacao, pasta de alune, masa de cacao, praf de frisca, alune crocante (zahar, alune 20%), lactoza, palmier grasime, lapte praf integral, grasime din unt, emulgator (lecitina de soia), aroma naturala de vanilie, sare. Ciocolata cu lapte contine substanta uscata de cacao 30% minimum. Substanta uscata din lapte 18% minimum. Ciocolata alba. Ciocolata cu lapte cu alune Gianduia contine: substanta uscata din cacao 25% minimum.","Contine lapte, alune si soia. Poate contine urme de arahide, alte alune, gluten si oua."
